,MONITORING PEKERJAAN LISDES APBN 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,No.,Tahap,Nomor di Kepdirjen,Lokasi,,,,,,Gabungan Nama,UP3,ULP,PLTD / PLTMG,Penyulang,Vendor,Nilai Kontrak,,,,,,,Nilai Realisasi,,,,,,,Rencana Volume Pekerjaan,,,,,,Realisasi Volume Pekerjaan,,,,,,Capel,No. KR / SPBJ,Tgl Awal Kontrak,Tgl Akhir Kontrak,Target Selesai,Addendum I,,,,,Addendum II,,,,,Addendum III,,,,,BASTP,,,BAPP,,,BAP,,,Checklist Penagihan,,,,,,,,
,,,,Provinsi,Kode Desa,Kabupaten,Kecamatan,Desa,Dusun,,,,,,Vendor,TOTAL,MDU,JASA (sebelum PPN),DPP,PPN 12%,JASA (+PPN),SLO,TOTAL,MDU,Jasa sebelum Pajak,DPP,PPN 12%,JASA (+PPN),SLO,JTM,JTR,GD,,"Tiang 
12 mtr","Tiang 
9 mtr",JTM,JTR,GD,,"Tiang 
12 mtr","Tiang 
9 mtr",,,,,,Judul,Nomor,Tanggal,Nilai Add,Status,Judul,Nomor,Tanggal,Nilai Add,Status,Judul,Nomor,Tanggal,Nilai Add,Status,Nomor,Tanggal,Status,Nomor,Tanggal,Status,Nomor,Tanggal,Status,TUG 3,TUG 4,BOQ,As Built Drawing,BA BBSP,SLO,BA Progres,Dokumentasi,TKDN
,,,,,,,,,,,,,,,,Rp,Rp,Rp,Rp,Rp,Rp,Rp,Rp,Rp,Rp,Rp,Rp,Rp,Rp,kms,kms,kVA,Unit,btg,btg,kms,kms,kVA,Unit,btg,btg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17,3,,Maluku,81.01.24.2005,Maluku Tengah,Seram Utara Timur Seti,Waitila,Waitila,"Dusun Waitila, Desa Waitila. Kec. Seram Utara Timur Seti, Kab. Maluku Tengah",Masohi,Kobisonta,,,PT SINAR GLORI DATIER, Rp 346.516.811 ,, Rp 312.177.307 , Rp 286.162.531 , Rp 34.339.504 , Rp 346.516.811 ,, Rp - ,,, Rp - , Rp - , Rp - ,,"0,47","1,13",100,1,5,13,,,,,,,10,0025.SPBJ/DIS.01.01/F17070000/2026,28 Agustus 2026,31 Desember 2026,31 Desember 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18,3,,Maluku,81.02.01.2048,Maluku Tenggara,Kei Kecil,Ohoidertawun,Mutin,"Dusun Mutin, Desa Ohoidertawun. Kec. Kei Kecil, Kab. Maluku Tenggara",Tual,Tual, Tual,,PT AKSE BANGUN MALUKU, Rp 1.520.308.699 ,, Rp 1.369.647.477 , Rp 1.255.510.187 , Rp 150.661.222 , Rp 1.520.308.699 ,, Rp - ,,, Rp - , Rp - , Rp - ,,"5,55","0,35",50,1,114,0,,,,,,,13,0007.SPBJ/DIS.01.01/F17070000/2026,28 Juli 2026,31 Desember 2026,31 Desember 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19,3,,Maluku,81.06.05.2003,Seram Bagian Barat,Amalatu,Latu,Wailey,"Dusun Wailey, Desa Latu. Kec. Amalatu, Kab. Seram Bagian Barat",Masohi,Kairatu,,,PT CAHAYA GENTA ABADI JO PT MEGATAMA SELARAS, Rp 137.030.329 ,, Rp 123.450.747 , Rp 113.163.185 , Rp 13.579.582 , Rp 137.030.329 ,, Rp - ,,, Rp - , Rp - , Rp - ,,,"0,51",50,1,2,,,,,,,,10,0014.SPBJ/DIS.01.02/F17070000/2026,28 Agustus 2026,31 Desember 2026,30 November 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20,3,,Maluku,81.06.08.2003,Seram Bagian Barat,Huamual,Luhu,Waimitena,"Dusun Waimitena, Desa Luhu. Kec. Huamual, Kab. Seram Bagian Barat",Masohi,Piru,,,PT SAMSEL JAYA MANDIRI, Rp 141.328.218 ,, Rp 127.322.719 , Rp 116.712.492 , Rp 14.005.499 , Rp 141.328.218 ,, Rp - ,,, Rp - , Rp - , Rp - ,,,"1,03",50,1,,2,,,,,,,10,0025.SPBJ/DIS.01.01/F17070000/2026,28 Agustus 2026,31 Desember 2026,31 Desember 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,21,3,,Maluku,81.06.04.2001,Seram Bagian Barat,Huamual Belakang,Waesala,Air Supe,"Dusun Air Supe, Desa Waesala. Kec. Huamual Belakang, Kab. Seram Bagian Barat",Masohi,Piru,,,PT SINAR GLORI DATIER, Rp 685.652.795 ,, Rp 617.705.221 , Rp 566.229.786 , Rp 67.947.574 , Rp 685.652.795 ,, Rp - ,,, Rp - , Rp - , Rp - ,,"1,51","0,55",100,2,32,,,,,,,,10,0023.SPBJ/DIS.01.01/F17070000/2026,28 Agustus 2026,31 Desember 2026,31 Desember 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,22,3,,Maluku,81.06.01.2010,Seram Bagian Barat,Kairatu,Kairatu,Air Kecap,"Dusun Air Kecap, Desa Kairatu. Kec. Kairatu, Kab. Seram Bagian Barat",Masohi,Kairatu,,,PT SAMUDRA JAYA RURIKA MANDIRI, Rp 177.505.493 ,, Rp 159.914.859 , Rp 146.588.621 , Rp 17.590.634 , Rp 177.505.493 ,, Rp - ,,, Rp - , Rp - , Rp - ,,,"1,13",,,,22,,,,,,,10,0020.SPBJ/DIS.01.02/F17070000/2026,28 Agustus 2026,31 Desember 2026,31 Desember 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,23,3,,Maluku,81.06.01.2010,Seram Bagian Barat,Kairatu,Kairatu,Siompu,"Dusun Siompu, Desa Kairatu. Kec. Kairatu, Kab. Seram Bagian Barat",Masohi,Kairatu,,,PT SAMUDRA JAYA RURIKA MANDIRI, Rp 251.939.818 ,, Rp 226.972.809 , Rp 208.058.408 , Rp 24.967.009 , Rp 251.939.818 ,, Rp - ,,, Rp - , Rp - , Rp - ,,,"1,34",,,,29,,,,,,,10,0019.SPBJ/DIS.01.02/F17070000/2026,28 Agustus 2026,31 Desember 2026,31 Desember 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,24,3,,Maluku,81.06.01.2010,Seram Bagian Barat,Kairatu,Kairatu,Srimulyo,"Dusun Srimulyo, Desa Kairatu. Kec. Kairatu, Kab. Seram Bagian Barat",Masohi,Kairatu, Kairatu,,PT CAHAYA GENTA ABADI JO PT MEGATAMA SELARAS, Rp 87.926.440 ,, Rp 79.213.009 , Rp 72.611.925 , Rp 8.713.431 , Rp 87.926.440 ,, Rp - ,,, Rp - , Rp - , Rp - ,,,"0,33",,,,7,,,,,,,10,0012.SPBJ/DIS.01.01/F17070000/2026,28 Agustus 2026,30 September 2026,31 Agustus 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25,3,,Maluku,81.06.01.2010,Seram Bagian Barat,Kairatu,Kairatu,Tirtomulyo,"Dusun Tirtomulyo, Desa Kairatu. Kec. Kairatu, Kab. Seram Bagian Barat",Masohi,Kairatu,,,PT CAHAYA GENTA ABADI JO PT MEGATAMA SELARAS, Rp 107.129.382 ,, Rp 96.512.957 , Rp 88.470.210 , Rp 10.616.425 , Rp 107.129.382 ,, Rp - ,,, Rp - , Rp - , Rp - ,,,,100,1,1,,,,,,,,10,0013.SPBJ/DIS.01.01/F17070000/2026,28 Agustus 2026,31 Desember 2026,30 November 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,26,3,,Maluku,81.05.12.2002,Seram Bagian Timur,Bula Barat,Banggoi,Tempono,"Dusun Tempono, Desa Banggoi. Kec. Bula Barat, Kab. Seram Bagian Timur",Masohi,Bula,,,PT CAHAYA GENTA ABADI JO PT MEGATAMA SELARAS, Rp 130.094.934 ,, Rp 117.202.643 , Rp 107.435.756 , Rp 12.892.291 , Rp 130.094.934 ,, Rp - ,,, Rp - , Rp - , Rp - ,,,"1,03",50,1,,,,,,,,,10,0028.SPBJ/DIS.01.02/F17070000/2026,31 Agustus 2026,31 Desember 2026,31 Desember 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
